X,Y,Z,pitch,yaw,roll
0.4,-0.17321,1.8,-0.0,-60.0007,0.0
0.47321,-0.1,1.8,-0.0,-29.9993,0.0
0.5,0.0,1.8,-0.0,0.0,0.0
0.47321,0.1,1.8,-0.0,29.9993,0.0
0.4,0.17321,1.8,-0.0,60.0007,0.0
0.35,-0.1866,1.85176,14.99913,-74.9998,0.0
0.4366,-0.1366,1.85176,14.99921,-45.0,0.0
0.4866,-0.05,1.85176,14.99913,-15.0002,0.0
0.4866,0.05,1.85176,14.99913,15.0002,0.0
0.4366,0.1366,1.85176,14.99921,45.0,0.0
0.35,0.1866,1.85176,14.99913,74.9998,0.0
0.35,-0.1866,1.74824,-14.99913,-74.9998,0.0
0.4366,-0.1366,1.74824,-14.99921,-45.0,0.0
0.4866,-0.05,1.74824,-14.99913,-15.0002,0.0
0.4866,0.05,1.74824,-14.99913,15.0002,0.0
0.4366,0.1366,1.74824,-14.99921,45.0,0.0
0.35,0.1866,1.74824,-14.99913,74.9998,0.0
